State,EOF,INT,SEMI,COMMA,ID,ASSIGN,INT_NUM,LSQUARE,RSQUARE,LBRACE,RBRACE,IF,LPAR,RPAR,ELSE,WHILE,DO,RETURN,READ,WRITE,OROR,ANDAND,OR_OP,AND_OP,EQ,NOTEQ,LT,GT,LTEQ,GTEQ,SHL_OP,SHR_OP,PLUS,MINUS,MUL_OP,DIV_OP,NOT_OP,$,program,var_declarations,var_declaration,declaration_list,declaration,code_block,statements,statement,control_statement,read_write_statement,assign_statement,if_statement,if_stmt,while_statement,do_while_statement,return_statement,read_statement,write_statement,exp,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,
101,,,,,,,,,,,,,,r55,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,s191,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,r58,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,
104,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,
105,,,,,,,,,,,,,,r61,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,s195,,,,,,r64,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,r63,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,196,93,94,95,96,97,98,99,100,101,102,105,
109,,,,,,,,,,,,,s197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,s115,,s10,,,,,,s198,s122,,,,s121,s19,s20,s21,s22,,,,,,,,,,,,,,,,,,,,,,,,,,199,113,114,112,116,120,117,118,119,15,16,,,,,,,,,,,,,
111,,,r12,,r12,,,,,,r12,r12,,,,r12,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,s200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,r14,,r14,,,,,,r14,r14,,,,r14,r14,r14,r14,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,s201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,r16,,r16,,,,,,r16,r16,,,,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,r17,,r17,,,,,,r17,r17,,,,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,r18,,r18,,,,,,r18,r18,,,,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,s202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,s203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,r25,,r25,,,,,,r25,r25,,,,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,s204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,s205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,206,93,94,95,96,97,98,99,100,101,102,105,
128,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,207,93,94,95,96,97,98,99,100,101,102,105,
129,,,,,,,,,,,,,,s208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,s209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,s210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,s211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,s212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,s70,,,s69,,,,,,,,,,,,,,,,,,,,,,213,61,62,63,64,65,66,67,68,71,
137,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,s70,,,s69,,,,,,,,,,,,,,,,,,,,,,,214,62,63,64,65,66,67,68,71,
138,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,s70,,,s69,,,,,,,,,,,,,,,,,,,,,,,,215,63,64,65,66,67,68,71,
139,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,s70,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,216,64,65,66,67,68,71,
140,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,s70,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,217,65,66,67,68,71,
